Pathway	Simulated_1	Simulated_2	Simulated_3	Simulated_4	Simulated_5	Simulated_6	Simulated_7	Simulated_8	Simulated_9	Simulated_10	Simulated_11	Simulated_12	Simulated_13	Simulated_14	Simulated_15	Simulated_16	Simulated_17	Simulated_18	Simulated_19	Simulated_20
ko00010	0.0029138771844635434	0.002376213924929213	0.0019824533368625777	0.0033323233819426293	0.002105532981301238	0.0031928952730263574	0.0028625238442716934	0.003658050048472247	0.0032822939360596767	0.002414092553904028	0.003130911508241079	0.0020911997505651957	0.0024967348617066227	0.003272577007285265	0.0027530934396597347	0.0029263194915081533	0.003261140792083198	0.0028867879815085797	0.0017532820412255264	0.0036761583287408957
ko00071	0.001993236009953538	0.0022474079198136865	0.0017962084648058864	0.0019838641537181815	0.002345709893532175	0.002970656515892711	0.0023618786471033388	0.001018469343585956	0.0017247390807180857	0.002285608100195667	0.00217310096321339	0.0022376876861447985	0.001390821678885211	0.002053299250460566	0.0024289591314304855	0.0014346987392094548	0.0024055449198168576	0.0017988330688162957	0.0016125038681867143	0.001921107647965247
ko00350	0.0037898853548300913	0.0025444837734293017	0.00333535655031818	0.0007196706109303822	0.002970730076782335	0.004126484810357995	0.006087263632583028	0.0007496953301834387	0.002332956423157501	0.0035848565907361765	0.0044299221922138405	0.004329442011917317	0.004294604498627205	0.0038531326032871095	0.004976385653032403	0.0021952326386325744	0.005512368750983051	0.0004280795082525909	0.005213722218123604	0.004146992650059149
ko00625	0.0	0.0	0.0	0.0	0.00039037250315	0.0	0.0	0.0	0.00030793339875	0.0	0.0	0.00053781871105	0.0	0.0	0.00077965789855	0.00030464803875	0.0	0.0	0.0	0.0
ko00626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.282412705666667e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00980	0.0	0.0	2.9828471548e-06	0.0	0.0	0.0	8.891756125e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.6163991356e-06	2.3581459705500002e-05	0.0	0.0	0.0	0.00010309311590000002	0.0
ko00982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00561	0.0016906803101403335	0.00200496973383828	0.002502720001919274	0.0014981512543307317	0.0025003472714920476	0.0017844988355823074	0.002083269712181565	0.0022359055916987293	0.002217561564839603	0.0020990503992375648	0.0023524922969307576	0.002502968933197076	0.0016628087405643971	0.00228005773305704	0.0014335912613981678	0.0025906027257813304	0.0024963484412825034	0.002259728059045958	0.0014501586719308974	0.0028085499679518576
ko00930	0.0008783999561212064	0.0007102408998820226	0.0006739817460085868	0.00022294740476358794	0.0006941626574316928	0.0007435902565334147	0.0020707014370196634	0.00017212844332265096	0.0005246116838547103	0.0005650752898752544	0.0009852064911190644	0.0011728869529438494	0.001323797361395858	0.0007462434391451815	0.0012192489799523931	0.0005179423745816651	0.0008793978524643013	0.0001145312542045104	0.0023164419365540056	0.0006815069792899823
ko00260	0.013249462223246657	0.009880370031832194	0.011873770212265737	0.005835234313929289	0.008698615777239124	0.009959895918872815	0.009506493174109475	0.007944833828372007	0.008222471428156509	0.010409053381230314	0.01198397138537246	0.01006988801546236	0.011317592335717115	0.009957722491478535	0.013968388884954419	0.008364848412597518	0.012180073770779095	0.007169491221572763	0.011297448988018405	0.009259953331459448
